Method,Dataset,q4x,lamg,cdeep,cmix,gamma_2l,eff,tau0,tau1,a0,a1,q2x,co2_beta,ecs,tcr
s21,UKESM1-0-LL,7.61,0.6826,77.1535,7.7731,0.5398,1.1444,5.8587476226260335,277.8087578595945,0.5040302850829286,0.4959697149170713,3.62236,,5.306709639613244,2.7538355687403384
s21,CIESM,8.9425,0.7152,73.2282,8.5947,0.6691,1.3837,5.096909319663904,258.03798297842707,0.41253056622293816,0.5874694337770617,4.25663,,5.951663870246086,2.707799698925372
mce-2l,ACCESS-CM2,6.878695577438081,0.7399688237207916,71.63933539732483,8.108306949467583,0.6833963954507488,,5.547734010705826,207.05226827843558,0.4926968217202511,0.507303178279749,3.0821761270261017,1.115882949894094,4.165278357982663,2.2075174180897585
mce-2l,ACCESS-ESM1-5,5.800980884326022,0.7624386281375904,77.83341018585045,6.93767898303873,0.7744140634211224,,4.41213190225714,207.27821008073042,0.47368225914597273,0.5263177408540272,2.7734986672985924,1.0457875737824347,3.6376680888708646,1.9024752760943886
mce-2l,AWI-CM-1-1-MR,7.292392422488354,1.1604703472251507,48.726489643022965,6.0868373691827795,0.6515099491283325,,3.3043012590164142,118.71950785203852,0.619379315652065,0.380620684347935,3.4226097366024377,1.065326312915737,2.949329765113243,2.013472661413545
mce-2l,BCC-CSM2-MR,5.994669084969129,0.9791571963599526,66.93336297028331,6.686775859093357,0.7338168760703366,,3.8316300998947463,162.5682460878002,0.550477869178478,0.44952213082152204,2.87665428393174,1.0419516030226201,2.937888108902015,1.774805211709122
mce-2l,BCC-ESM1,6.022407243250697,0.9232209720751903,73.91179299124875,6.982190290045242,0.708387276758654,,4.202746844211163,187.7568428895148,0.545536003245785,0.45446399675421506,2.7487873574198605,1.0954661929367298,2.9773883399130474,1.7489259719577435
mce-2l,CAMS-CSM1-0,7.973425038635878,1.732842319358177,52.54221393254958,6.496809720024545,0.6910798675486824,,2.6529410809392826,107.44683412108762,0.7001954538887762,0.29980454611122376,4.020675240474538,0.991552980749425,2.3202776130050573,1.7465165158171512
mce-2l,CanESM5,7.28364948962809,0.64610360058679,70.21043653682523,7.805436365205265,0.5861314966979914,,6.174741742228155,234.35965064931716,0.4978918666012679,0.502108133398732,3.3176979363635435,1.097696298658753,5.134931817978443,2.6779019499320436
mce-2l,CESM2,6.487283520894279,0.628113516892936,69.69475600174732,6.116919715141562,0.8133946723632447,,4.125655233060514,202.2555681960609,0.41163979389867583,0.5883602061013242,2.596172569759752,1.2493937414750915,4.133285624232599,1.9752384038204922
mce-2l,CESM2-FV2,5.681416466737395,0.5526479905418608,83.47261725225908,5.1561566213304735,0.8283476270498031,,3.651310904757713,257.48983550345633,0.38260040193751144,0.6173995980624887,2.455036836607927,1.1570939348077744,4.44231568489159,1.950233443436287
mce-2l,CESM2-WACCM,6.6711351833240515,0.7139010691116182,82.14062170746344,6.060809366758124,0.8358526641113639,,3.8271745940132256,217.99301169013793,0.440987592512687,0.5590124074873131,2.7430059551877473,1.2160263762291832,3.8422774161147517,1.9106769465676126
mce-2l,CESM2-WACCM-FV2,5.748015814063813,0.591877908508914,100.17454734951563,5.778488229114195,0.8087268749356653,,4.046791009388778,298.83181957463484,0.40646629619779473,0.5935337038022054,2.58486841410346,1.111858495910606,4.367232459503987,1.9519633684549842
mce-2l,CIESM,7.963521294650924,0.718404004880529,66.35219463923887,7.188256466565398,0.8193668107347805,,4.531354118676901,178.81491457290784,0.4386442840412466,0.5613557159587534,3.231654692648001,1.2321120373361512,4.49838067534914,2.2785968110509303
mce-2l,CMCC-CM2-SR5,7.310179252222479,1.0205519956037692,55.634542042301256,5.963392539585073,0.6507090014924954,,3.509702972653037,142.346109171709,0.5905413663083674,0.4094586336916326,3.482995357971248,1.0494098471151083,3.4128543895606924,2.206250153541118
mce-2l,CNRM-CM6-1,7.326334729317955,0.7484299861727913,97.80831379539157,6.427359351768448,0.6539034890837085,,4.517723299451977,284.33079004747003,0.5184116238287744,0.4815883761712256,3.1039149416061975,1.1801764653909559,4.147234876943575,2.236390655804078
mce-2l,CNRM-CM6-1-HR,7.70843348279253,0.8807243447108657,86.62360439413372,8.388401929652677,0.6004783841991074,,5.572465783698779,246.56458199615543,0.5754760477112977,0.4245239522887024,3.7188070620371656,1.0364121281637348,4.222441544133787,2.4664990912164253
