Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
181,1156,1077,1546,1039,25270,3665,34004,18616
182,1172,1079,1560,1040,37133,4548,48145,1063
183,1173,1080,1568,1043,2180,23351,40113,21210
184,1177,1081,1588,1046,40579,31880,13975,32476
185,1180,1093,1602,1050,43519,40672,34584,32588
186,1181,1100,1605,1057,21260,5569,40081,13334
187,1208,1101,1638,1063,29072,29067,24438,15651
188,1231,1119,1646,1070,34796,30336,2763,12502
189,1236,1123,1668,1075,10457,6479,40456,43494
190,1242,1131,1672,1080,2557,41363,49102,13574
191,1246,1147,1675,1081,46063,41665,17743,6498
192,1268,1158,1686,1083,32532,1035,13090,48454
193,1270,1164,1692,1088,33722,25357,46295,13944
194,1271,1167,1699,1091,549,23265,7909,21818
195,1275,1174,1703,1094,472,3314,23373,42612
196,1277,1180,1706,1099,4123,4886,795,20129
197,1283,1187,1707,1105,26501,23692,2763,38632
198,1294,1195,1725,1115,46315,27980,27401,32235
199,1296,1202,1729,1138,27497,3850,19876,2885
200,1307,1211,1731,1172,49706,1387,38676,2807
201,1311,1213,1760,1177,44283,31797,8935,48915
202,1313,1214,1772,1179,24008,29922,26938,16707
203,1321,1233,1780,1186,15215,24407,48281,23299
204,1333,1235,1787,1192,48389,27021,46839,16818
205,1335,1236,1791,1196,1289,1356,20228,26814
206,1359,1245,1796,1210,25437,47623,45409,31209
207,1362,1246,1799,1213,46627,9179,8826,36370
208,1363,1255,1812,1225,31027,33469,7936,14986
209,1364,1257,1814,1231,13644,29136,14612,28065
210,1365,1260,1820,1235,25576,13028,12212,25398
211,1367,1261,1828,1240,41741,39418,37977,290
212,1378,1263,1836,1257,21390,48188,25081,20490
213,1381,1265,1843,1263,37115,2314,46695,45009
214,1382,1268,1852,1265,44335,46706,29009,4246
215,1387,1269,1859,1273,48989,43441,38118,34802
216,1390,1271,1863,1275,43963,41702,33356,16329
217,1393,1285,1864,1277,25511,1776,341,23980
218,1397,1287,1865,1287,27497,36726,4505,32744
219,1398,1292,1878,1294,2589,39578,13975,18875
220,1416,1305,1893,1296,4168,22192,34004,44351
221,1428,1307,1898,1304,31053,12193,23675,33879
222,1430,1309,1905,1307,44335,38781,4768,9595
223,1439,1310,1908,1308,43441,8304,33626,40543
224,1447,1322,1920,1329,40060,46399,17192,22855
225,1448,1333,1926,1332,39377,16771,34616,26111
226,1451,1335,1930,1333,26942,14065,35319,23810
227,1464,1337,1935,1335,40450,13643,19699,28785
228,1468,1338,1937,1348,15269,9583,24025,43599
229,1476,1344,1949,1351,33348,40414,5016,19921
230,1477,1351,1959,1359,32368,3744,11015,17666
231,1479,1356,1962,1363,45457,9325,2117,48384
232,1488,1360,1971,1365,16955,12102,4378,16033
233,1492,1362,1987,1366,23163,31975,32596,45428
234,1494,1366,1990,1372,28396,45536,12631,19339
235,1505,1371,1996,1390,5208,38319,44029,24568
236,1513,1379,2004,1392,35871,38749,5586,3145
237,1521,1384,2012,1393,8524,47306,8902,13591
238,1524,1389,2023,1397,19356,29977,4349,44819
239,1527,1390,2025,1399,40187,34087,6482,4720
240,1529,1401,2038,1401,40934,25539,39592,38973
241,1531,1406,2042,1411,28965,38398,49376,19668
242,1538,1417,2046,1413,45683,41011,18399,10250
243,1539,1418,2047,1416,38922,16080,33830,37655
244,1540,1419,2064,1418,46632,41592,28722,14259
245,1542,1427,2065,1423,38364,43573,30493,16745
246,1551,1428,2068,1430,17763,10449,40678,46010
247,1561,1435,2069,1431,36659,20673,33830,13931
248,1563,1442,2075,1439,11688,2866,47838,24142
249,1566,1445,2080,1447,24757,21052,11837,42886
250,1585,1449,2081,1450,6970,8919,47096,20484
251,1591,1451,2083,1464,36291,39295,28190,42475
252,1592,1478,2084,1479,2094,44338,38980,59
253,1594,1484,2100,1484,45238,26056,18342,8291
254,1595,1488,2104,1488,3069,45820,40956,6350
255,1597,1496,2113,1499,44151,19604,8826,28208
256,1598,1497,2117,1508,5675,41719,31176,3233
257,1602,1499,2120,1509,22682,2051,20023,7520
258,1612,1510,2127,1514,23163,40025,5016,16155
259,1623,1516,2128,1529,23339,24876,20166,39221
260,1625,1517,2143,1530,10266,35050,23656,9240
261,1634,1518,2158,1538,3772,25121,13613,31674
262,1638,1519,2162,1546,34763,38985,41679,20649
263,1639,1524,2165,1559,31608,6179,3899,1913
264,1652,1536,2170,1575,31767,44087,49660,7639
265,1657,1545,2175,1587,27844,49482,41101,28764
266,1670,1566,2178,1591,34815,24830,451,27442
267,1672,1575,2179,1592,1623,17384,20406,36452
268,1675,1588,2182,1597,42355,27588,45234,42258
269,1676,1589,2185,1598,10584,35831,45553,45877
270,1680,1591,2194,1599,47976,10821,28283,23554
271,1697,1592,2196,1606,23339,29513,24506,47374
272,1700,1598,2199,1614,38950,16327,15788,14883
273,1705,1604,2206,1620,19909,4886,48799,38896
274,1706,1608,2207,1636,40323,45352,37712,29041
275,1707,1610,2215,1652,36695,47306,8664,48750
276,1712,1611,2218,1657,40550,36965,4584,16499
277,1713,1612,2222,1661,46701,36954,27064,6684
278,1733,1613,2238,1667,17858,7568,13399,1820
279,1737,1625,2244,1674,1890,15798,8097,36452
280,1753,1637,2246,1678,23989,26707,1156,28230
281,1760,1639,2247,1691,38285,41442,20406,49595
282,1768,1662,2250,1705,4716,24820,12899,30129
283,1769,1672,2252,1706,29195,809,28209,36172
284,1786,1676,2257,1713,45182,38464,9287,3789
285,1788,1678,2267,1725,35593,24251,33626,26520
286,1790,1680,2273,1737,41155,1221,33657,11858
287,1802,1684,2286,1751,21022,11109,35431,28702
288,1803,1696,2289,1753,24128,29513,720,19058
289,1806,1697,2290,1768,8524,23351,28609,7517
290,1808,1698,2297,1790,9322,47462,42362,33393
291,1820,1700,2302,1800,11837,6839,21344,1277
292,1823,1707,2308,1805,46797,26838,37314,10217
293,1828,1714,2309,1807,25189,30529,43247,42020
294,1831,1717,2318,1808,48398,37119,9597,302
295,1834,1731,2323,1828,41790,49617,15428,31608
296,1843,1733,2326,1834,46099,8264,26815,8551
297,1845,1734,2337,1835,21657,22291,10084,16905
298,1850,1742,2349,1836,41941,878,812,13090
299,1852,1751,2350,1840,19281,39295,4038,39803
300,1855,1768,2354,1849,6127,14538,27845,45236
301,1859,1772,2373,1859,43192,30412,36088,28104
302,1876,1775,2378,1861,32296,20824,10869,5254
303,1878,1776,2387,1863,23831,38370,32216,4165
304,1879,1786,2388,1867,8232,42591,47803,41353
